iteration;avg_executed;avg_worst;avg_average;avg_best
0;141.87846462670564;141.87846462670564;141.87846462670564;141.87846462670564
1;141.87891337075843;141.87846462670564;141.878688998732;141.87891337075843
2;141.8792340018447;141.87833674903487;141.8788707432671;141.87936187951541
3;141.87936247277446;141.87833674903487;141.87895634690537;141.8794903504452
4;141.87961906088273;141.87833674903487;141.87915735535913;141.87974697973902
5;141.87910604416035;141.87833674903487;141.87908891151756;141.87974697973902
6;141.87961906088273;141.87833674903487;141.87908040684272;141.87974697973902
7;141.8792984509668;141.87833674903487;141.87906119256826;141.87981106312915
8;141.87961906088273;141.87833674903487;141.8790954834615;141.87961906088273
9;141.879362800725;141.87846501662557;141.87908911672878;141.87974697973902
10;141.87961906088273;141.87846501662557;141.87914258793447;141.87974697973902
11;141.87904194988334;141.87833674903487;141.87903791186355;141.87968318545842
12;141.87961906088273;141.87846501662557;141.87913406186502;141.87981106312915
13;141.87904166611142;141.87833674903487;141.8791019767108;141.87968314427286
14;141.87961906088273;141.87846501662557;141.87919386193855;141.87968314427286
15;141.87910599998176;141.87846491688964;141.8791660358653;141.87974697973902
16;141.8796191020683;141.87859318448034;141.87923025226286;141.87974697973902
17;141.87942686510524;141.8786575716618;141.8792581293431;141.87961906088273
18;141.87961906088273;141.8787216554101;141.8793158053617;141.87961906088273
19;141.8788493480134;141.87846526629954;141.8792687883506;141.87961906088273
20;141.87961906088273;141.87897830616333;141.87942266769147;141.87961906088273
