iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;14:43:13;14:43:13;14:43:13;;;14:43:13;14:43:13;14:43:13;14:43:13;14:43:13;14:43:13;14:43:13;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;;;14:43:15;14:43:15;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:02
1;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:15;14:43:16;14:43:16;14:43:16;14:43:16;14:43:16;14:43:16;;;14:43:17;14:43:17;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
2;14:43:17;14:43:17;14:43:17;14:43:17;14:43:17;14:43:17;;;14:43:17;14:43:17;14:43:17;14:43:17;14:43:18;14:43:18;14:43:18;14:43:18;14:43:18;14:43:18;;;14:43:18;14:43:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
3;14:43:18;14:43:18;14:43:18;14:43:18;14:43:18;14:43:18;;;14:43:18;14:43:18;14:43:18;14:43:18;14:43:19;14:43:19;14:43:19;14:43:19;14:43:19;14:43:19;;;14:43:19;14:43:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
4;14:43:19;14:43:19;14:43:19;14:43:19;14:43:19;14:43:19;;;14:43:19;14:43:19;14:43:19;14:43:19;14:43:20;14:43:20;14:43:20;14:43:20;14:43:20;14:43:20;;;14:43:21;14:43:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
5;14:43:21;14:43:21;14:43:21;14:43:21;14:43:21;14:43:21;;;14:43:21;14:43:21;14:43:21;14:43:21;14:43:22;14:43:22;14:43:22;14:43:22;14:43:22;14:43:22;;;14:43:22;14:43:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
6;14:43:22;14:43:22;14:43:22;14:43:22;14:43:22;14:43:22;;;14:43:22;14:43:22;14:43:22;14:43:22;14:43:23;14:43:23;14:43:23;14:43:23;14:43:23;14:43:23;;;14:43:23;14:43:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
7;14:43:24;14:43:24;14:43:24;14:43:24;14:43:24;14:43:24;;;14:43:24;14:43:24;14:43:24;14:43:24;14:43:25;14:43:25;14:43:25;14:43:25;14:43:25;14:43:25;;;14:43:25;14:43:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
8;14:43:25;14:43:25;14:43:25;14:43:25;14:43:25;14:43:25;;;14:43:25;14:43:25;14:43:25;14:43:25;14:43:26;14:43:26;14:43:26;14:43:26;14:43:26;14:43:26;;;14:43:26;14:43:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
9;14:43:26;14:43:26;14:43:26;14:43:26;14:43:26;14:43:26;;;14:43:26;14:43:26;14:43:26;14:43:26;14:43:27;14:43:27;14:43:27;14:43:27;14:43:27;14:43:27;;;14:43:28;14:43:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
10;14:43:28;14:43:28;14:43:28;14:43:28;14:43:28;14:43:28;;;14:43:28;14:43:28;14:43:28;14:43:28;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
11;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;14:43:29;;;14:43:29;14:43:29;14:43:29;14:43:29;14:43:30;14:43:30;14:43:30;14:43:30;14:43:30;14:43:30;;;14:43:30;14:43:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
12;14:43:30;14:43:30;14:43:30;14:43:30;14:43:30;14:43:30;;;14:43:30;14:43:30;14:43:30;14:43:30;14:43:31;14:43:31;14:43:31;14:43:31;14:43:31;14:43:31;;;14:43:32;14:43:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
13;14:43:32;14:43:32;14:43:32;14:43:32;14:43:32;14:43:32;;;14:43:32;14:43:32;14:43:32;14:43:32;14:43:33;14:43:33;14:43:33;14:43:33;14:43:33;14:43:33;;;14:43:33;14:43:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
