ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;10516.092411971063;10516.092411971063
1;10515.860026395567;10515.860026395567
2;10515.627640820072;10515.627640820072
3;10515.550178961574;10515.550178961574
4;10515.395255244577;10515.395255244577
5;10515.70510267857;10515.70510267857
6;10515.395255244577;10515.395255244577
7;10515.627640820074;10515.627640820074
8;10515.395255244577;10515.395255244577
9;10515.550178961574;10515.550178961574
10;10515.395255244577;10515.395255244577
11;10515.782564537069;10515.782564537069
12;10515.395255244577;10515.395255244577
13;10515.78256453707;10515.78256453707
14;10515.395255244577;10515.395255244577
15;10515.70510267857;10515.70510267857
16;10515.395255244577;10515.395255244577
17;10515.550178961574;10515.550178961574
18;10515.395255244577;10515.395255244577
19;10515.860026395567;10515.860026395567
20;10515.395255244577;10515.395255244577
