Link;TotalConsumptionPerKm;TotalConsumption
539301448_0_r;0.12066496811100635;0.008189750288217086
361424589_0;0.12078064956521883;0.004807286996520796
25489888_0;0.19641805205882096;0.2709907940769036
264313118_0;0.19343256470134532;0.10607434438722677
299138188_0;0.3598654424093746;0.0217886918762779
42103707_0;0.133841464140694;0.0021441917564387365
4420511_0;0.1631010718877708;0.18380351510254103
157738667_0;0.12096966933757122;0.0029132149487966995
262949152_0;0.13591844550940482;0.05870187025418452
159171974_0;0.16360673512801538;0.058690987718289477
37347718_0;0.16728586532179;0.009484025722364934
343280337_0;0.6004037400233796;1.921132039211395
24704435_0;0.12017464858880618;0.014108723839359374
291388995_0_r;0.1360663070610719;0.009335829111324908
358314660_0;0.12092868873738524;0.018537998979182957
374344535_0;0.12088004173298367;0.015068007132183472
39225307_0;0.12006991212734947;0.009899737954005849
374344535_1;0.12051888304054258;0.02439041002760106
458714633_0;0.24148318456587925;0.01761916801114448
174638755_0;0.12846945828966527;0.001188706915407058
336982545_0;0.12407882576465741;0.00390821857402231
314328606_0;0.39881512543743836;0.2120457704526737
5364948_0;0.2738297012607137;0.0833865940024576
255552858_0;0.17820986074456138;0.04835546219198135
215939003_0;0.12367208855004044;0.014547163788629969
38119136_0;0.12638388006702403;0.0046149127428746425
39011600_0;0.3847929168741484;0.27270640714338973
314328596_0;0.3170392320087694;0.04236593725683062
35276646_0;0.19726825554420346;0.04546759356841911
35402736_0_r;0.13460136070781012;0.0057434362845800654
23458385_0;0.19066192249418257;0.04859107722978737
23635726_0;0.1746130351927775;7.575813329369152E-4
4491303_0_r;0.12085156324828594;0.0406506833793351
377115683_0;0.19909335154573343;0.17114510455135504
183596331_0;0.12072301193535179;0.014095334408915583
254395699_0;0.40076788844047656;0.5203065939530861
458703423_0_r;0.12279850140223428;0.005369708791547299
4189766_0_r;0.1275035160412056;0.04547075778361601
297005728_0;0.17180720467551788;0.029875634674339083
333142110_0_r;0.12064771764604466;0.009614573993041591
4578961_0;0.19942552913530348;0.3048157950257185
85264697_0_r;0.13688623722567325;0.029780926429449142
265110181_0;0.1602220933945248;0.08655103518113219
23266688_0;0.1814421759177189;0.038922297541015324
152466382_0;0.27576227386859953;0.079136997090374
24468959_0;0.12084802807193468;0.007667734908737473
232053496_0;0.1214607157433118;0.018676906690452435
48153782_0_r;0.24851332443631058;0.0345731520566139
22662168_0;0.129024100285305;0.0075009036010255615
14673469_0;0.2748914515867704;0.24958591390041032
264312503_0;0.17428662129384243;0.040955311914686
265096028_0;0.39598718078163997;0.18308689482254092
244589583_0;0.1696764407268269;0.009752711486590451
360133592_0;0.12181158705066071;0.026531514831434764
4410419_0;0.24564477876646879;0.37098516180516045
361424576_0;0.1360946048577274;0.011826070624162029
151495004_0;0.18295544103230016;0.011273734162521363
22874347_0;0.3253594067751959;0.2136734568269974
192672140_0;0.38757962496093973;0.08794373751926468
319382552_0_r;0.26154306919917686;0.010525149697587928
337770679_0;0.17923939518599954;0.010819784534336825
385710549_0;0.12262647403441411;0.0027049878448123523
144481204_0;0.1232589703115488;0.008333814047144983
4444535_0;0.15335900160009325;0.011836960822862954
187656405_0;0.3433663018332595;0.01991708978289272
315173411_0_r;0.12059184476798589;0.0016024289988402652
499658100_0;0.12212588705472897;0.002828367743653012
252565779_0_r;0.12032172372097232;0.018811631785812497
262924570_0;0.37819884663823855;0.023969522615377527
52381005_0;0.24603484026797243;0.012230280059510783
319179449_0;0.1358317302986448;0.011655277652038616
95928366_0;0.12146322903370582;0.005826429897593399
319401882_0;0.40082372736832256;0.12007075245071216
179532219_0;0.1201921304979182;0.02098443459767259
314328619_0;0.1775058862092658;0.04239481973069967
4723412_0;0.3611060968491063;0.021938688049864444
4694800_0;0.12043639729536906;0.00947492544161556
314040163_0;0.16201303059537908;0.008840487888226863
4446473_0;0.24178184985647164;0.012819431990722122
59582927_0;0.12085917048743743;0.020230547344267817
233556435_0_r;0.12107956495363226;0.004369822423195049
259531989_0;0.17830317512110783;0.02149131652976949
4412686_0;0.12122906796906921;0.0029347680092571653
225094625_0;0.17578138746724448;0.02090694709032982
30927149_0_r;0.24265152368035425;0.0114538065984152
361424545_0;0.1627636389985797;0.022415062817383053
245575519_0;0.12539201741757725;0.002527864520231384
289379736_1_r;0.12201918268998577;0.004149170673746917
55595670_0_r;0.12057013597738633;0.07811620988369126
247325896_0_r;0.12046882553756261;0.04949868977002924
279491457_0;0.15572830546328809;0.02841856978510601
315331343_0;0.16434308431086342;0.49102929311269977
26612731_0_r;0.13706318989586308;0.005186571728513838
256226639_0;0.1381745872516295;0.30352578383095774
38704854_0_r;0.12026242060096007;0.0753457026515972
575607868_0;0.1839660494749206;0.045403755526469775
169965246_0;0.1382751319348241;0.17169135247003672
328440062_0;0.12474857713468614;0.011123990062465085
262541943_0;0.39861965247691655;0.2650572130658421
4629526_0;0.12044895165237984;0.011549694279673488
637386268_0;0.12044062233546271;0.001774806597370514
4847702_0;0.1224504206403695;0.005614975917479629
4441990_0;0.2404263030802466;0.025638863981444243
147488274_0;0.20016243412998083;0.720424514704273
575637610_0;0.19889329467715886;0.539765329738889
13862518_0;0.1231828044180863;0.004106588312505851
112345185_0;0.1250611333230647;0.017928703768308598
506039730_0;0.13394609991908335;0.008490622303361171
259534023_0;0.18550176704824514;0.0579261751432797
24262729_0;0.19416125258126196;0.012563391074180669
492441450_0;0.12072986392775652;0.001736413123851811
179532204_0_r;0.12020028047019923;0.03228374553488091
248616206_0;0.16645505184716178;0.009352122890611794
257148800_0;0.12026618188217676;0.006504109340693617
31743369_0_r;0.12083572257972063;0.007445741248105462
137979582_0;0.12148502212103837;0.003845857986564482
33431326_0_r;0.16442731822868012;0.09547791810524718
78507407_0;0.19520392232518133;0.04456519507903672
44563422_0;0.1236606352858464;0.004228119694183832
259537453_0;0.19417118423574062;0.04397186875963234
184173410_0;0.13285402671523402;0.005497864057430373
