iteration;avg_executed;avg_worst;avg_average;avg_best
0;162.6336928501492;162.6336928501492;162.6336928501492;162.6336928501492
1;181.26522904709952;148.7023033398299;164.98376619346476;181.26522904709952
2;210.8075966378502;147.10693819760746;184.8797318585007;224.17281332008082
3;339.7595291503975;128.8456249601115;242.24891998800632;358.01648910772366
4;397.38342625786606;128.8456249601115;274.0340491571977;425.1396451557959
5;386.4294151605516;128.81226299079066;272.38894575577444;434.5569726489304
6;425.4401815745106;128.81226299079066;273.7739809924437;438.1127349000997
7;373.3674285200292;128.81226299079066;271.23246118791064;438.9536615890896
8;335.0059733078864;128.81391413123632;263.6827374329533;443.09814647685323
9;421.62884004051205;128.81226299079066;258.93993495353124;421.62884004051205
10;317.6871828101593;128.81226299079066;257.4319227556648;439.4177446995958
11;286.3800470992229;129.2933996358451;247.65717352900546;432.2676168785888
12;287.0453599194833;109.50932183992788;237.37026780938044;419.5296530232499
13;301.17582096442413;136.0368963677845;241.05860186673;424.2226710773658
14;335.3217992009639;154.00885332576513;243.70805545537087;435.36096351501067
15;332.7700456576983;154.00885332576513;241.34782678869132;438.7497836413528
16;344.98787188266135;155.2128419050824;248.2517205888243;448.49322893644813
17;331.48348695957986;156.66765462682855;251.2086657456441;435.4401097983622
18;407.8831866777098;177.85892297948237;257.48770485383204;425.34310845283755
19;298.8758391117578;175.3976708038724;255.45734228874795;434.753768774578
20;358.78899474801426;167.1050690371713;254.3696921380982;422.83721646269896
21;365.7941948164528;180.03603848336905;261.0807994874397;444.87944815418234
22;371.87462066629973;193.99701101631393;263.3438504094577;446.03050802738716
23;416.23843296193934;203.96577847347868;266.0453434158327;435.9290254380444
24;429.68553360352706;203.99914044279956;268.75609044056444;450.760747725752
25;348.7651445725513;202.88569068047454;264.4743719627598;445.58597428760356
26;292.4712848955621;184.6738048815212;259.70475011375567;445.86008082410683
27;383.3679414272316;203.99914044279956;261.5505647193762;417.86995645263033
28;323.14453202179027;202.91905264979542;262.3209118815481;436.9037671690068
29;387.6146107438479;194.63338515515971;262.2362140405849;427.8414394485977
30;249.22652780415564;203.99914044279956;257.47382958427727;422.6677541621798
31;272.3456098158669;175.43739657963656;252.88361533706316;415.25371310529545
32;382.5445026698232;194.03037298563476;268.5602357766985;432.41722467137186
33;335.8016451877703;211.73705714162685;274.20787906547264;439.4860612707911
34;351.8336142272578;200.95359542585624;275.5707223736633;447.08001555030705
35;312.9399590128433;195.61165976994957;273.88079055326295;444.4989402446066
36;329.3974334457064;200.65298076930543;271.52823780612664;431.4594145144271
37;365.9296490465732;202.33793988466613;274.02493600317706;428.7961365361725
38;405.9953049609896;215.33321291417437;279.5133170306253;438.7285806637884
39;429.4983379626424;215.313283482089;282.3518739231845;451.0784113605282
40;350.9928615903126;205.88594812575533;275.96632940326634;449.89307645417176
41;361.04619911736285;215.33708689963345;275.1929209401586;424.67527004453103
42;317.4101921343996;194.33627077380535;274.62465207797334;445.0512983085634
43;317.68262177437776;203.33011081551172;272.94551430031197;433.46257192407927
44;292.121265474028;183.33200968365782;270.3228143276386;436.33787241430525
45;349.32706670465075;200.9212215630765;277.6173222394503;444.0816544766544
46;446.5226868046287;215.32638865545454;286.977003080854;453.3086885968104
47;327.24812173929126;214.18553013623801;281.2398490573192;460.3860706298324
48;298.93006540004524;193.66280971491128;278.69772591527214;464.67992765409053
49;445.1668677787562;215.32473751500888;290.5473686629479;464.7219991047019
50;314.4065133898731;211.1835631178007;285.3938601620227;467.65466256510115
