iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;18:56:05;18:56:05;18:56:05;;;18:56:05;18:56:05;18:56:05;18:56:05;18:56:05;18:56:05;18:56:05;18:56:08;18:56:08;18:56:08;18:56:08;18:56:08;18:56:08;;;18:56:09;18:56:09;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:00;00:00:04
1;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:09;18:56:12;18:56:12;18:56:12;18:56:12;18:56:12;18:56:12;;;18:56:13;18:56:13;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:00;00:00:04
2;18:56:13;18:56:13;18:56:13;18:56:13;18:56:13;18:56:13;;;18:56:13;18:56:13;18:56:13;18:56:13;18:56:17;18:56:17;18:56:17;18:56:17;18:56:17;18:56:17;;;18:56:18;18:56:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:01;00:00:04
3;18:56:18;18:56:18;18:56:18;18:56:18;18:56:18;18:56:18;;;18:56:18;18:56:18;18:56:18;18:56:18;18:56:22;18:56:22;18:56:22;18:56:22;18:56:22;18:56:22;;;18:56:25;18:56:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:02;00:00:06
4;18:56:25;18:56:25;18:56:25;18:56:25;18:56:25;18:56:25;;;18:56:25;18:56:25;18:56:25;18:56:25;18:56:28;18:56:28;18:56:28;18:56:28;18:56:28;18:56:28;;;18:56:31;18:56:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:02;00:00:06
5;18:56:31;18:56:31;18:56:31;18:56:31;18:56:31;18:56:31;;;18:56:31;18:56:31;18:56:31;18:56:31;18:56:35;18:56:35;18:56:35;18:56:35;18:56:35;18:56:35;;;18:56:38;18:56:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:03;00:00:06
6;18:56:38;18:56:38;18:56:38;18:56:38;18:56:38;18:56:38;;;18:56:38;18:56:38;18:56:38;18:56:38;18:56:42;18:56:42;18:56:42;18:56:42;18:56:42;18:56:42;;;18:56:45;18:56:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:02;00:00:06
7;18:56:45;18:56:45;18:56:45;18:56:45;18:56:45;18:56:45;;;18:56:45;18:56:45;18:56:45;18:56:45;18:56:48;18:56:48;18:56:48;18:56:48;18:56:48;18:56:48;;;18:56:51;18:56:51;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:02;00:00:06
8;18:56:51;18:56:51;18:56:51;18:56:51;18:56:51;18:56:51;;;18:56:51;18:56:51;18:56:51;18:56:51;18:56:54;18:56:54;18:56:54;18:56:54;18:56:54;18:56:54;;;18:56:57;18:56:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:02;00:00:05
9;18:56:57;18:56:57;18:56:57;18:56:57;18:56:57;18:56:57;;;18:56:57;18:56:57;18:56:57;18:56:57;18:57:00;18:57:00;18:57:00;18:57:00;18:57:00;18:57:00;;;18:57:03;18:57:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:02;00:00:05
10;18:57:03;18:57:03;18:57:03;18:57:03;18:57:03;18:57:03;;;18:57:03;18:57:03;18:57:03;18:57:03;18:57:06;18:57:06;18:57:06;18:57:06;18:57:06;18:57:06;18:57:06;18:57:06;18:57:09;18:57:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:02;00:00:06
11;18:57:09;18:57:09;18:57:09;18:57:09;18:57:09;18:57:09;;;18:57:09;18:57:09;18:57:09;18:57:09;18:57:12;18:57:12;18:57:12;18:57:12;18:57:12;18:57:12;;;18:57:15;18:57:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:02;00:00:06
