ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;7507.791603506986;8633.960344033034
1;6832.659120475328;10277.262049749646
2;6220.152784659253;8373.090504663422
3;4166.55928633572;11757.82102511248
4;3129.9705105612834;11664.89615418674
5;4054.7078129996007;13127.537621494297
6;3146.7017275981852;12021.036650758391
7;3578.1633199113876;11570.878821530894
8;3833.6250090991043;10695.412184705952
9;3552.5299284096877;13919.432340260184
10;4921.0843370825705;8842.032340943746
11;3689.967794272195;8184.971824341919
12;4590.520578074304;10505.042073177128
13;4738.623607214139;10473.301708611987
14;4838.363380388069;8773.902121662748
15;4769.624978879572;8362.535352989233
16;3776.423184262018;7675.605465861893
17;3235.194485667567;10488.877954070007
18;3204.4415189690894;12680.91998071158
19;4993.375904018614;8728.055751084848
20;3727.6879348141974;11214.043654014304
21;4612.492502129817;18652.71277754418
22;3759.2701334655326;11171.728596443343
23;3635.146903488983;13919.432340260184
24;3078.0594069225863;8217.110054277317
25;4108.422881166941;10903.750567820303
26;3782.4077160113825;10024.86454025492
27;3451.6046340898797;11831.209689483087
28;4697.507659151669;10940.998830942892
29;3164.2296859784356;8212.356429167332
30;6243.533324528951;10061.349526500559
31;4805.198549832771;8364.719863070823
32;3098.6481173239476;8017.651022024246
33;5231.804143510662;8813.495197333286
34;4185.142060424825;11201.647403851179
35;5158.732313418278;15557.649975729426
36;3901.6627984311235;8913.933300999235
37;3596.8569130823416;11826.553901282552
38;3569.5021330117347;10765.874558963895
39;2419.5502399416923;11000.418939450088
40;2984.0781663559133;10720.737532835932
41;3746.250899157681;8092.034450701396
42;4962.287657511952;10336.37529486795
43;5026.885154373408;10952.850820833759
44;4740.935558206989;10080.771054893628
45;3972.795530671171;14420.20730832425
46;3424.8719944483087;18624.997409208107
47;5123.880088610186;11202.337626128068
48;4827.827024917812;10689.037242762251
49;3424.8719944483087;18624.997409208107
50;4621.277930919244;9055.302863496127
