Link;TotalConsumptionPerKm;TotalConsumption
539301448_0_r;0.12066496811100635;0.008189750288217086
54367889_0;0.24987307102440734;0.031375231594540046
255562558_0;0.19790773219454078;0.12423753577243847
299138188_0;0.1799327212046873;0.01089434593813895
365763982_0;0.120421728419;0.004634499744795739
439032723_0;0.12009463167960058;0.014958423169217479
490950075_0_r;0.1308116615466079;0.018285173457625224
262949152_0;0.13591844550940482;0.05870187025418452
291788974_0;0.1616609824336315;0.030941707608794018
224459753_0;0.12380002056303377;0.0013224694353299973
176785081_2_r;0.1383986172366002;0.04292283811750918
314333244_0;0.12175142558803352;0.009827155553515593
307629052_0_r;0.12135699961015259;0.0094755410112267
190074542_0;0.17371549349369128;0.040672507957083465
314328606_0;0.19940756271871918;0.10602288522633685
227047578_1_r;0.13165610292472185;0.0010984826486669331
28950469_0_r;0.24278920065310855;0.014352610135059906
175543694_0;0.12451561522406229;0.003878872799853824
39011600_0;0.3847929168741484;0.27270640714338973
91217445_0;0.14206884344579515;0.009889283683439887
42387652_0_r;0.16393847268810338;0.6501591566214451
132613379_0_r;0.12543936970022573;0.002547109894370206
314328596_0;0.1585196160043847;0.02118296862841531
255921791_0_r;0.1348592399316496;0.026034251008605812
152370491_0;0.128989981267734;0.06750813240923005
377115683_0;0.19909335154573343;0.17114510455135504
255923046_0_r;0.1366687441265084;0.13199204800680636
370328667_0;0.1737564785389258;0.035588444462448035
183621692_0_r;0.12092258736808549;0.004807286996520796
264315252_0;0.3963922119008756;0.1961645301670081
229819613_0_r;0.13588493150891826;0.06750715079231219
254395699_0;0.20038394422023828;0.26015329697654305
273125318_0_r;0.12411193722319962;0.002176640084897396
62082105_0_r;0.12546248865055998;0.011205439855192874
159655077_0;0.25343366017129537;0.10849213559715225
260795253_0;0.24237006079067722;0.01826803501362602
162699228_1_r;0.13633224727327362;0.16081700271902538
66514429_0;0.27827470017653866;5.483361424560902E-4
42387642_0;0.3072406818211108;0.055239150506693785
34200446_0;0.12106325486276415;0.026338892340202757
338573780_0;0.12243771894672545;0.0028074879587398145
474170380_0_r;0.12046443829115146;0.008682065619259056
192672140_0;0.19378981248046986;0.04397186875963234
479591319_0;0.12042609658609187;0.023268658263227184
4444535_0;0.15335900160009325;0.011836960822862954
151687533_0;0.1631717837508934;0.017932050253906442
137221060_0;0.12176739358859556;0.0094755410112267
143526824_0_r;0.12488149900845837;0.008964351884154299
142947687_0;0.2414258046539081;0.056098515072699806
314040163_0;0.32402606119075816;0.017680975776453726
197459514_0;0.24199414328668734;0.015561959495590628
225094625_0;0.17578138746724448;0.02090694709032982
365959898_0;0.12047772392141405;0.005133814702162311
114357139_0_r;0.1379228189790457;0.35002902559203886
360016458_0;0.1803535074110869;0.04387737609972889
320462163_0;0.1328806356006978;0.009886343838002399
337503226_0;0.1202729746676792;0.017886300686907445
288762495_0;0.12056033067438329;0.011217002991881856
590179827_0;0.12620473263444573;0.006872044021288832
344646824_0_r;0.13800719651114005;0.21001741535522334
231966925_0;0.2424968427699736;0.0145660747439835
146945552_0_r;0.12071769578043541;0.1506800713218347
262541943_0;0.19930982623845828;0.13252860653292106
637386268_0;0.12044062233546271;0.001774806597370514
4702492_0;0.24272573882204465;0.01208960124123869
4702492_1;0.2410031107237125;0.05569030195987618
