iteration;avg_executed;avg_worst;avg_average;avg_best
0;126.31886413546745;126.31886413546745;126.31886413546745;126.31886413546745
1;126.31511070545076;126.31489486796707;126.31698742045913;126.31907997295114
2;126.31908266540441;126.31467803019542;126.31765031126915;126.31929950317605
3;127.02010063780072;126.30234749928812;126.66805087858148;127.03243116870803
4;127.03221533122431;126.30234749928812;126.7888158279665;127.03243116870803
5;127.02824237098275;126.30234749928812;126.78811769501228;127.03243116870803
6;127.03221433093638;126.30234749928812;126.84745447229086;127.03243116870803
7;127.01966527009209;126.30234749928812;126.88102299293686;127.03243116870803
8;127.02846190120766;126.30234749928812;126.90564066166299;127.03243116870803
9;127.03243116870803;127.0148225021746;127.02438649547739;127.03243116870803
10;127.01988110757583;127.0148225021746;127.02314246587542;127.03243116870803
11;127.03134183080718;127.0148225021746;127.02423000224918;127.03243116870803
12;125.98305350354761;125.98196416564676;126.85045353769024;127.03243116870803
13;127.03221533122431;127.01439407505968;127.02411646390752;127.03243116870803
14;127.0275884007905;127.01439407505968;127.02381169284949;127.03243116870803
15;126.37776586977435;126.359728776126;126.91507838277553;127.03243116870803
16;127.03178590382147;127.01439407505968;127.02410340556051;127.03243116870803
17;127.01988480031703;127.01439407505968;127.02287041915568;127.03243116870803
18;127.02824237098275;127.01439407505968;127.02383860823028;127.03243116870803
19;127.01967221068581;127.01439407505968;127.02286391863225;127.03243116870803
20;125.9955966240861;125.98196416564676;126.85174631315523;127.03243116870803
