iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;17:14:28;17:14:28;17:14:28;;;17:14:28;17:14:28;17:14:28;17:14:28;17:14:28;17:14:28;17:14:28;17:14:32;17:14:32;17:14:32;17:14:32;17:14:32;17:14:32;;;17:14:33;17:14:33;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:00;00:00:04
1;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:33;17:14:36;17:14:36;17:14:36;17:14:36;17:14:36;17:14:36;;;17:14:36;17:14:36;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
2;17:14:36;17:14:36;17:14:36;17:14:36;17:14:36;17:14:36;;;17:14:36;17:14:36;17:14:36;17:14:36;17:14:39;17:14:39;17:14:39;17:14:39;17:14:39;17:14:39;;;17:14:39;17:14:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
3;17:14:39;17:14:39;17:14:39;17:14:39;17:14:39;17:14:39;;;17:14:39;17:14:39;17:14:39;17:14:39;17:14:42;17:14:42;17:14:42;17:14:42;17:14:42;17:14:42;;;17:14:42;17:14:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
4;17:14:42;17:14:42;17:14:42;17:14:42;17:14:42;17:14:42;;;17:14:42;17:14:42;17:14:42;17:14:42;17:14:45;17:14:45;17:14:45;17:14:45;17:14:45;17:14:45;;;17:14:46;17:14:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
5;17:14:46;17:14:46;17:14:46;17:14:46;17:14:46;17:14:46;;;17:14:46;17:14:46;17:14:46;17:14:46;17:14:48;17:14:48;17:14:48;17:14:48;17:14:48;17:14:48;;;17:14:49;17:14:49;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
6;17:14:49;17:14:49;17:14:49;17:14:49;17:14:49;17:14:49;;;17:14:49;17:14:49;17:14:49;17:14:49;17:14:51;17:14:51;17:14:51;17:14:51;17:14:51;17:14:51;;;17:14:52;17:14:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
7;17:14:52;17:14:52;17:14:52;17:14:52;17:14:52;17:14:52;;;17:14:52;17:14:52;17:14:52;17:14:52;17:14:54;17:14:54;17:14:54;17:14:54;17:14:54;17:14:54;;;17:14:55;17:14:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
8;17:14:55;17:14:55;17:14:55;17:14:55;17:14:55;17:14:55;;;17:14:55;17:14:55;17:14:55;17:14:55;17:14:57;17:14:57;17:14:57;17:14:57;17:14:57;17:14:57;;;17:14:57;17:14:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
9;17:14:57;17:14:57;17:14:57;17:14:57;17:14:57;17:14:57;;;17:14:57;17:14:57;17:14:57;17:14:57;17:15:00;17:15:00;17:15:00;17:15:00;17:15:00;17:15:00;;;17:15:00;17:15:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
10;17:15:00;17:15:00;17:15:00;17:15:00;17:15:00;17:15:00;;;17:15:00;17:15:00;17:15:00;17:15:00;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02
11;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;17:15:03;;;17:15:03;17:15:03;17:15:03;17:15:03;17:15:06;17:15:06;17:15:06;17:15:06;17:15:06;17:15:06;;;17:15:06;17:15:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
12;17:15:06;17:15:06;17:15:06;17:15:06;17:15:06;17:15:06;;;17:15:06;17:15:06;17:15:06;17:15:06;17:15:09;17:15:09;17:15:09;17:15:09;17:15:09;17:15:09;;;17:15:09;17:15:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
13;17:15:09;17:15:09;17:15:09;17:15:09;17:15:09;17:15:09;;;17:15:09;17:15:09;17:15:09;17:15:09;17:15:12;17:15:12;17:15:12;17:15:12;17:15:12;17:15:12;;;17:15:12;17:15:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
