ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;127001.05415647199;127001.05415647199
1;127613.15743438921;127613.15743438921
2;126861.24781327852;126861.24781327852
3;126620.68105274279;126620.68105274279
4;126869.54275327807;126869.54275327807
5;127205.37637386796;127205.37637386796
6;126544.8561322693;126544.8561322693
7;126920.04502085476;126920.04502085476
8;126379.97164220495;126379.97164220495
9;127252.49258240368;127252.49258240368
10;126637.97763762868;126637.97763762868
11;126713.69080785089;126713.69080785089
12;126591.32124694725;126591.32124694725
13;127138.75468616515;127138.75468616515
