Link;TotalConsumptionPerKm;TotalConsumption
254413062_0;0.13936429871099407;0.015781093718760304
293897936_0;0.13701693060445636;0.026998373455937665
54367889_0;0.12493653551220367;0.015687615797270023
255562558_0;0.5937231965836224;0.3727126073173154
25489888_0;0.5892541561764628;0.8129723822307108
25839745_0;0.1448217086202581;0.013769989538504834
264313118_0;0.38686512940269063;0.21214868877445353
299138188_0;0.3598654424093746;0.0217886918762779
5888473_0_r;0.325454629962788;0.2958788291894563
83894404_0_r;0.13576309646509002;0.0792475248431491
255921108_0;0.13337034720269253;0.01115712348767517
264311932_0;0.3964788378533553;0.9415897448016389
32604519_0;0.16404822845615608;0.10911762069171108
291388995_0_r;0.1360663070610719;0.009335829111324908
307629052_0_r;0.12135699961015259;0.0094755410112267
314328606_0;0.39881512543743836;0.2120457704526737
123074752_0_r;0.24238835529614383;0.01104401756671256
417389723_0;0.12633368216876928;0.0023243547259605736
4620463_0;0.1258801496937695;0.025014316927612083
255552858_0;0.17820986074456138;0.04835546219198135
28950469_0_r;0.12139460032655428;0.007176305067529953
39011600_0;0.3847929168741484;0.27270640714338973
42387652_0_r;0.16393847268810338;0.6501591566214451
314328596_0;0.3170392320087694;0.04236593725683062
210356140_0_r;0.16061531960304049;0.008716510858107328
231967434_0_r;0.13041622493205113;0.01306083818401802
232441187_0_r;0.12880404665784745;0.012410623038498993
23458385_0;0.19066192249418257;0.04859107722978737
14124528_0;0.13053382055595114;0.01815229515640086
377115683_0;0.39818670309146686;0.3422902091027101
25491568_0;0.26240822042160633;0.010679767012051032
370328667_0;0.1737564785389258;0.035588444462448035
260795255_0_r;0.24446474487328143;0.017096270883169763
313237671_0_r;0.12862215481769862;0.03500421680478595
44501223_0;0.12025570302542661;0.003112391899118126
15463329_0_r;0.1637060799993667;0.05417629635534414
264315252_0;0.3963922119008756;0.1961645301670081
664779824_0_r;0.12052039804448678;0.11135715025973011
254395699_0;0.6011518326607149;0.7804598909296292
4189766_0_r;0.1275035160412056;0.04547075778361601
4578961_0;0.19942552913530348;0.3048157950257185
257314378_0_r;0.1252158476733434;0.011287489813993095
23596955_0;0.12544818540796113;0.006723263913115725
85264697_0_r;0.13688623722567325;0.029780926429449142
23596955_1;0.1261794999431787;0.006922369114311965
587667920_0;0.13712798104250398;0.03626038013803056
265110181_0;0.1602220933945248;0.08655103518113219
80871246_0_r;0.12033427984633822;0.02724129298028451
152466382_0;0.13788113693429976;0.039568498545187
68804414_0_r;0.12066172590885683;0.0029782964992421846
159655077_0;0.25343366017129537;0.10849213559715225
14673469_0;0.1374457257933852;0.12479295695020516
260795253_0;0.12118503039533861;0.00913401750681301
4480714_0;0.16410916096995798;0.077291647989962
264312503_0;0.34857324258768485;0.081910623829372
76857807_0_r;0.16414294184569572;1.450355041693993
257314529_0;0.13493386912675992;0.04917580746069987
549172801_0;0.2448318592881568;0.008298341347493835
231959867_0;0.24156894625690384;0.09972282112811652
265096028_0;0.19799359039081998;0.09154344741127046
248616219_0;0.24214732071708212;0.011206144014271462
42387642_0;0.1536203409105554;0.027619575253346892
244589583_0;0.3393528814536538;0.019505422973180902
257245154_0_r;0.12075609232639074;0.0050965032478314486
360133592_0;0.12181158705066071;0.026531514831434764
108049362_0_r;0.13746976628876031;0.024173586758687044
4410419_0;0.12282238938323439;0.18549258090258022
54859253_0;0.1347592996527876;0.02584546328061029
123568282_0;0.1286264665582128;0.01232039754902501
151495004_0;0.18295544103230016;0.011273734162521363
322230107_0;0.18699857062082317;0.04110289018397035
192672140_0;0.38757962496093973;0.08794373751926468
233353522_0_r;0.2680287479591517;0.005619343072894629
385710549_0;0.12262647403441411;0.0027049878448123523
177625749_0;0.2674118639250061;0.01115712348767517
4444535_0;0.15335900160009325;0.011836960822862954
187656405_0;0.17168315091662975;0.00995854489144636
252565779_0_r;0.12032172372097232;0.018811631785812497
28962164_0;0.12675531154312483;0.014048263347193285
262924570_0;0.18909942331911928;0.011984761307688763
23382366_0;0.35340464466915666;0.07368112339583002
252565973_0_r;0.1206396569783866;0.012268375853979956
355143744_0;0.28537750369559667;0.04013349740835106
319401882_0;0.20041186368416128;0.06003537622535608
142947687_0;0.2414258046539081;0.056098515072699806
4723412_0;0.18055304842455314;0.010969344024932222
314328619_0;0.3550117724185316;0.08478963946139934
314040163_0;0.32402606119075816;0.017680975776453726
368877170_0;0.1411045852325489;0.0032256014884511487
23450561_0;0.12174374051641344;0.002828367743653012
233556435_0_r;0.24215912990726451;0.008739644846390098
259531989_0;0.35660635024221565;0.04298263305953898
197459514_0;0.12099707164334367;0.007780979747795314
225094625_0;0.5273441624017334;0.06272084127098945
296606295_0_r;0.12754756739694958;0.014570283252835096
342366961_0_r;0.1290125582670855;0.010001204801367415
44562290_0;0.199599551542818;0.033132151633230265
210356135_0;0.16017712460259942;0.1514643115669813
289379736_1_r;0.12201918268998577;0.004149170673746917
316185411_0;0.1386554806154069;0.06532585534081115
192998570_0;0.19167761270957553;0.08618836077857321
366779232_0;0.1270343082550181;0.02871837333702064
279491457_0;0.15572830546328809;0.02841856978510601
16084744_0;0.24137422351352233;0.3716775092605256
46842884_0;0.13557420708700926;0.023310555304077232
100009879_0;0.38014632553530686;0.014151148121367684
5051510_1_r;0.12087585465518004;0.0032759001152868343
46837983_0;0.3172189234238342;0.050839124708196744
231966925_0;0.1212484213849868;0.00728303737199175
35194641_0_r;0.4876614405023789;0.7345025078428035
575607868_0;0.1839660494749206;0.045403755526469775
330139549_0_r;0.12048949968460324;0.031121051095224925
262541943_0;0.5979294787153748;0.3975858195987632
637386268_0;0.24088124467092542;0.003549613194741028
26732913_0;0.13276905706418649;0.035736116373297426
262233329_0_r;0.15945010573196336;0.10312897854592089
202958343_0;0.12331673639232939;0.010341591892429069
110060353_0;0.2540015880810938;0.01435918666851032
5135482_0;0.12302600705819038;0.004087861442100112
575637610_0;0.19889329467715886;0.539765329738889
13862518_0;0.2463656088361726;0.008213176625011701
137511752_0;0.2851609319082283;0.03984433458315236
116570220_0;0.17332623136954822;0.02542031747317717
55608788_0;0.22080800301171077;0.27053497898676665
417073455_0;0.12075350570216638;0.016141872767440456
259534023_0;0.3710035340964903;0.1158523502865594
65272460_0_r;0.12041615372221152;0.0035238336022288957
24262729_0;0.5824837577437859;0.037690173222542006
290296350_0;0.3810815327611301;0.12147769307446844
80444654_0;0.16124456644125182;0.14923118716922623
248616206_0;0.33291010369432356;0.018704245781223587
4845576_0;0.13720797451874941;0.12993302882794286
26995308_0_r;0.1383641660227296;1.0240162808034332
531813380_0_r;0.15719645364441953;0.05391553364122619
385689227_0;0.42523162652336;0.04908986043080571
341865867_0;0.35369371165682845;0.07368112339583002
252565971_0;0.1247501908332005;0.004449596024986034
44563422_0;0.1236606352858464;0.004228119694183832
4451552_0;0.16241306329017718;0.09793366771237381
23493664_0;0.12091893068953762;0.003135271964302083
184173410_0;0.13285402671523402;0.005497864057430373
179274470_0;0.3724193803495455;0.014398635642881455
43377778_0;0.3199774431668613;0.22344612018282856
113956685_0_r;0.2567200280382241;0.12907047960038953
313237659_0;0.16266998095611096;0.20031886577531008
22328894_0_r;0.2720238590093588;0.023652141248324057
25612976_0_r;0.12051160351269118;0.007151158061648918
320778163_0;0.3792989823166706;0.06033017685784897
295623949_0_r;0.36459212160573706;0.0222495720024921
299539938_0;0.12807879824455162;0.022015485835217043
247329570_0;0.12043000891602486;0.0034475950276054686
320777855_0;0.34557038519033884;0.05048923589960659
284486558_0;0.18016043782682722;0.03839270408726278
293897923_0;0.14818218960520627;0.025526678842918673
264018727_0;0.12350518000463719;0.016912478776735327
329530847_0;0.12066644794731077;0.006000551160276987
202844171_0;0.16350688254535356;0.09932320998479757
285960030_0;0.18932429401590198;0.02996190326922191
314957238_0;0.2754979391940776;0.0020573657801906636
231954205_0;0.2488889926168195;0.01754059916340882
30546390_0;0.1659415397115172;8.086695399058772E-4
115930997_0_r;0.12722984509699078;0.004786395556170106
252696588_0;0.3567321676029745;0.06447394958930848
25584064_0;0.19036910696432907;0.08503438515212791
38379398_0;0.2710330387645145;0.011655277652038616
644762288_0;0.12037615186277528;0.018149519582344054
12862171_0_r;0.12759178261409723;0.016875075297912122
362812954_0_r;0.12069597906416993;0.006363006463601258
16084511_0_r;0.2422492918053612;0.01760860805554299
82522545_0_r;0.12365047395320192;0.006435359469237845
39490176_1;0.12083392234962996;0.05022669044061157
39490176_0;0.12020196701684195;0.017886300686907445
257282829_0;0.32795200983006145;0.4182842126515591
30197946_0;0.13643816089731975;0.10347811796141776
260795264_0_r;0.24187729952656384;0.04135954201340818
257245228_0_r;0.12025406565787956;0.00315830848053852
264306350_0;0.1618494348534034;0.1679692698763104
362052631_0;0.12002616743292657;0.006551800230573669
43377604_0_r;0.48366277575793265;0.3555213576678625
233353521_0;0.12566281307429691;0.0024707338090205837
25974056_0;0.13547838774478851;0.002109303299376607
252565517_0;0.12883391870222113;0.02978549529239758
4538105_0;0.19798089923055803;0.3923290603340162
385689225_0_r;0.31355184869048697;0.05765168417283559
264308742_0;0.35113052124168953;0.08305199764164792
170976077_0_r;0.12037820712155474;0.009972282112811651
4068364_0;0.3795779062847421;0.25338674280296564
4260875_0;0.19127941799665535;0.012229964658690409
84005677_0_r;0.32610307500016494;0.2151846030468773
505020546_0_r;0.2800370083193752;0.002005846239700939
42190585_0;0.13713422385324026;0.11482453710376345
390589605_0;0.19891242481332758;0.25671765682703257
84005688_0;0.15492322759156063;0.0403098366040832
377739472_0;0.1207698989803397;0.03603490126815518
259911084_0;0.39320942193651953;0.23227782349448878
126855351_0_r;0.12197718211094263;0.004149170673746917
44614097_0;0.12385250341349123;0.012964932021230214
151687488_0;0.18054438751814134;0.03290803207479667
138718702_0;0.332226815960141;0.018573552079683992
618609165_0;0.2768481675226892;0.030882581956469552
404969321_0;0.27646528070248866;0.25753702870505507
170315268_0;0.12068473626992285;0.032759001152868346
257282864_0;0.3134602876928945;0.03294381952733463
251824654_0;0.16438891746962775;0.11821075574935365
88805409_0_r;0.12404851538857335;0.0063885981429469335
103836121_0;0.12074850719786503;0.012268375853979956
71231558_0_r;0.12087300072562118;0.02037926776796354
233353513_0_r;0.24255739419679362;0.011124786001246051
145704366_0_r;0.12888217721671225;0.1439632272465883
45827009_0;0.24983247085050056;0.0268930556524629
44651934_0;0.15793077515225695;0.06730649762466272
44572897_0_r;0.1372002846835601;0.054390570207045845
307631020_0_r;0.1282688462354082;0.11088357794122508
23415243_0_r;0.127857681727222;0.012230825464009467
259552873_0;0.33635909334965547;0.05730350890108542
26386853_0;0.2650494570356563;0.010915888965574874
412996995_0;0.1957252817746644;0.12818381327776854
34334389_0_r;0.120398528417359;0.006504109340693617
25377705_0;0.24043493257698736;0.0422767107145085
36331000_0;0.25444932419256716;0.009503191728049698
366779195_0_r;0.12453234810626196;0.011043136312377074
70379311_0;0.1351100112468535;0.03471233467814109
115930843_0;0.1591558126494019;0.09813459884265
44572889_0;0.12493630792602217;0.011123990062465085
257147472_0_r;0.120741852123646;0.004567008753406505
356116665_0;0.2416320851888405;0.03448799160732292
519743842_0;0.19877810242340663;0.026330016084823854
317587866_0_r;0.2412558261510217;0.03474139328592372
275302273_0_r;0.16300439225702654;0.013449037690429832
310702244_0;0.16361462857857825;0.130926049525415
30073745_0;0.3789153444825582;0.06033017685784897
308033752_0;0.12037829953784177;0.003067093963494989
72673787_0_r;0.1243298334844185;0.006529920254692187
262929717_0;0.17603516723962234;0.026133683862912274
431091430_0_r;0.13477689684648558;0.05416689800941397
34179487_0_r;0.31163102523525316;0.1308413871770597
232436640_0;0.12972977628699267;0.005148677543480606
4481908_0;0.28959853965075055;0.013869696297077563
262932261_0;0.1910315599790406;0.048919858634761636
279964169_0;0.36628545742765634;0.07891613913764955
142658101_0;0.38582210883981755;0.41181804291511576
256896641_0;0.16316948578812288;0.022415062817383053
23425191_0;0.25010297603867465;0.008899192049972068
4189732_0;0.19813669183130908;0.1961645301670081
442902617_0;0.24209740987698025;0.007099226389482056
4662700_0_r;0.1642833259367859;0.22278180891224342
30625724_0;0.13369103026427495;0.022477372291578517
138392895_1_r;0.12080740444410293;0.004702907946453124
4913899_0;0.19940676644800995;0.07951716391975265
257314457_0_r;0.12471839632517909;0.008706560339589584
312408271_0;0.12697240412807514;0.054643352436285764
126597964_0_r;0.1573716696744154;0.029031441191429492
4825686_0;0.12678911772747722;0.021072395020789926
100009879_0_r;0.25343088369020456;0.009434098747578456
116757443_0;0.1346627974010593;0.0021267196471869117
361040278_0;0.16373968265280986;0.06772037044418017
34346102_0;0.12388702980051872;0.017160958584634255
293900785_0;0.16171696062530005;0.21659195326155814
36734896_0;0.12046840867709481;0.016141872767440456
76559760_0;0.1200873838928318;0.019089019390803777
31983785_0;0.1356736392727989;0.023480748101673807
257429547_0;0.15991177529746198;0.004297040772746704
296612033_0_r;0.3621186578812871;0.059398427724035086
50876260_0_r;0.12066637849055317;0.08975053901530486
142723546_0;0.25931182733561103;0.02044502460076727
262946937_0;0.39320708175368657;0.49036429404392073
57703564_0;0.1283314987682626;0.0011795081250025338
42879428_0;0.13338740272806543;0.0021441917564387365
19796679_0;0.12068422506943711;0.0032283745534880917
34179478_0_r;0.25460175561293835;0.09572791112340213
318517287_0;0.27453739500251173;0.012086793379343522
231954210_0;0.24190994108169714;0.0315830848053852
285960025_0;0.17551347227314054;0.031144499115617973
33175494_0_r;0.12393013516576493;0.008456239388367663
172141706_0_r;0.12517088214158215;0.020317481665187567
304649483_0;0.12480108223773068;0.020023182112437154
36974528_0_r;0.12037100384873442;0.024036434982603976
216249466_0;0.2549926030188243;0.004821450085117749
232441178_0_r;0.13676914622691544;0.1072113351460169
223392929_0;0.14577017858974572;0.017588916185624984
45023776_0_r;0.12007518394012039;0.01937024732092855
295566661_0;0.3517501334703631;0.07317431481615437
52248573_0;0.2415623411342039;0.09040804279310083
153030005_0_r;0.12111921945457353;0.008934889497726554
406660772_0;0.19987234335229112;0.04638501228652238
5016641_0;0.21626318345437753;0.12248119625721651
264306381_0;0.16274780747857892;0.03116071245393712
314328570_0;0.36598485181657847;0.05636867081260682
24675288_0;0.13389591879885432;0.014048357682236574
14673443_0;0.13112581203036955;0.013156437121984907
611886451_0_r;0.1338895477120515;0.031132281778990963
44611432_0_r;0.12073453142288926;0.019089019390803777
262902087_0;0.13997893383329688;0.009537561728369037
364651631_0_r;0.3735768169000675;0.03288862343139154
257314547_0;0.12739973083164788;0.01205362521279437
252565731_0;0.12642488996201723;0.009297418903842294
28857011_0_r;0.12128842484469347;0.009067200930929017
47120752_0_r;0.1540862889985691;0.03973913406543222
153031137_0;0.3126892095171656;0.016355173397132463
23797656_0;0.6010393690491327;0.020011792075118696
83391576_0;0.12030498295147754;0.004600640945242484
206082874_0;0.12010463508932519;0.00315830848053852
294406538_0;0.19912549058408072;0.03949502412723579
248416568_0;0.5466167315261757;0.11756822557599746
254413075_0;0.15192749201960035;0.02703376275223083
244585013_0;0.33241436274609665;0.037408491562447174
62417112_1;0.1201636525345893;0.02052900512350038
208458861_0;0.3734644042396366;0.1761552436455872
116686126_0_r;0.12649616512263323;0.02324354725960574
62417112_0;0.12138693184782912;0.0014566074743983498
25751349_0;0.3957823561473219;0.7061923086012292
257055978_0;0.12114300940158007;0.009406747264358127
23432796_0_r;0.12090346923997251;0.015561959495590628
362647679_0_r;0.12429525654772479;0.0013027395246741034
107161973_0_r;0.12007750615181856;0.02386127423850472
301991603_0_r;0.12708312012540232;0.054643352436285764
265097186_0;0.16257907161648483;0.026709182103374675
177929511_0;0.12085869858640602;0.028049257536349903
587667924_0_r;0.13669867438071315;0.13401416893252116
313237666_0_r;0.12246820686613756;0.010044392994813304
62710428_0;0.19747260157750643;0.3572453780375788
62417112_0_r;0.12138693184782912;0.0014566074743983498
412997780_0;0.1987457648570627;0.730657946353862
134408433_0_r;0.1617985828434155;0.04862268338524774
97281712_0;0.16673229103526196;0.014126808398694549
137511721_0;0.29137766031390255;0.03517783237124997
210356135_0_r;0.16017712460259942;0.1514643115669813
23450569_0_r;0.18827310505858952;7.055821941749117E-4
549566259_0;0.12120024773775934;0.0029782964992421846
345918892_0_r;0.12151947158913068;0.005956592998484369
244589578_0;0.34181434353179346;0.04944759653181705
257327924_0_r;0.12354558185155026;0.010493501951424074
203948918_0_r;0.12204740876835159;0.013858652099391865
23448761_0;0.12053458225935912;0.015561959495590628
257245158_0;0.12245165528075169;0.008094300413024074
255951205_0;0.5867589873496547;0.26739117047422034
23054269_0;0.25039340550986744;0.008964351884154299
43377613_0_r;0.49485732963622275;1.3735925522168726
295475374_0_r;0.123860059953977;0.008643288014153474
23054016_0;0.3764201443848297;0.22617496587041366
25828206_0;0.19865473796814676;0.0065825040212059635
177625751_0_r;0.2576447509671249;0.01489274764619879
289070438_0;0.5726810415591925;0.12841462891624933
511347392_0_r;0.13052557479081037;0.0011251607189133308
390589636_0;0.35456648654135026;0.07419093452872441
280716298_0;0.3894384968078119;0.4679729157648944
