iteration;avg_executed;avg_worst;avg_average;avg_best
0;86.63990436580536;86.63990436580536;86.63990436580536;86.63990436580536
1;86.64256808718542;86.6387683822728;86.64154716306189;86.64432594385093
2;86.64568584157989;86.63801924533827;86.64259101411766;86.6466067624936
3;86.64635315441456;86.63722886815965;86.64323025420327;86.64812936935786
4;86.64726974288308;86.63671203652638;86.64354846666112;86.64871661074211
5;86.64726184072532;86.63618424648422;86.6437592994794;86.64919860515988
6;86.64796994477273;86.63611507211553;86.6440792283152;86.64956757042638
7;86.6477056306016;86.63616301435603;86.64422296470552;86.6497259961583
8;86.64859406166393;86.63634354601196;86.64455326588929;86.6501526951398
9;86.64796448757667;86.6367140984334;86.64477585920791;86.65032283301865
10;86.64876994346972;86.63769955332417;86.64518963312752;86.65035881013593
