iteration;avg_executed;avg_worst;avg_average;avg_best
0;-74.07800410111516;-74.07800410111516;-74.07800410111516;-74.07800410111516
1;-56.49549205438738;-60.33302956176587;-58.405694625876286;-56.47835968998651
2;-40.88657957220169;-48.528208005348795;-44.64665700639301;-40.84473879569171
3;-30.84447369753818;-40.969855043753725;-35.74310737489502;-30.748111496219927
4;-27.53063070231633;-39.01648674735967;-32.9224762193992;-27.23898496162207
5;-25.828178794629924;-38.65219829304746;-31.711238953658448;-25.378409285316515
6;-23.594950352296543;-37.711545284249944;-30.05918264038563;-23.25522871783537
7;-23.99255247739688;-38.27024893813448;-30.281273399313914;-23.35910570443727
8;-25.828866294553;-39.5089417389068;-31.482160947116306;-24.70628181381369
9;-28.491960081182746;-41.31044166767803;-33.35788467951165;-26.895779588823487
10;-28.99418244852776;-42.26212367490933;-34.12130097371546;-27.61504968788698
