iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;14:33:07;14:33:07;14:33:07;;;14:33:07;14:33:07;14:33:08;14:33:08;14:33:08;14:33:08;14:33:08;14:33:52;14:33:52;14:33:52;14:33:52;14:33:52;14:33:52;;;14:33:53;14:33:53;;00:00:00;;00:00:01;00:00:01;00:00:00;00:00:43;00:00:00;00:00:00;;00:00:01;00:00:46
1;14:33:53;14:33:53;14:33:53;14:33:53;14:33:54;14:33:54;14:33:54;14:33:55;14:33:55;14:33:55;14:33:55;14:33:55;14:34:24;14:34:24;14:34:24;14:34:24;14:34:24;14:34:24;;;14:34:25;14:34:25;;00:00:00;00:00:00;00:00:01;00:00:01;00:00:00;00:00:29;00:00:00;00:00:00;;00:00:00;00:00:31
2;14:34:25;14:34:25;14:34:25;14:34:25;14:34:25;14:34:25;;;14:34:25;14:34:25;14:34:25;14:34:25;14:34:54;14:34:54;14:34:54;14:34:54;14:34:54;14:34:54;;;14:34:54;14:34:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:28;00:00:00;00:00:00;;00:00:00;00:00:29
3;14:34:54;14:34:54;14:34:54;14:34:54;14:34:54;14:34:54;;;14:34:54;14:34:54;14:34:54;14:34:54;14:35:24;14:35:24;14:35:24;14:35:24;14:35:24;14:35:24;;;14:35:24;14:35:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:29;00:00:00;00:00:00;;00:00:00;00:00:30
4;14:35:24;14:35:24;14:35:25;14:35:25;14:35:25;14:35:25;;;14:35:25;14:35:25;14:35:25;14:35:25;14:35:59;14:35:59;14:35:59;14:35:59;14:35:59;14:35:59;;;14:35:59;14:35:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:34;00:00:00;00:00:00;;00:00:00;00:00:34
5;14:35:59;14:35:59;14:35:59;14:35:59;14:36:00;14:36:00;;;14:36:00;14:36:00;14:36:00;14:36:00;14:36:30;14:36:30;14:36:30;14:36:30;14:36:30;14:36:30;;;14:36:30;14:36:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:29;00:00:00;00:00:00;;00:00:00;00:00:30
6;14:36:30;14:36:30;14:36:30;14:36:30;14:36:30;14:36:30;;;14:36:30;14:36:30;14:36:30;14:36:30;14:36:58;14:36:58;14:36:58;14:36:58;14:36:58;14:36:58;;;14:36:58;14:36:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:27;00:00:00;00:00:00;;00:00:00;00:00:28
7;14:36:58;14:36:58;14:36:58;14:36:58;14:36:59;14:36:59;;;14:36:59;14:36:59;14:36:59;14:36:59;14:37:27;14:37:27;14:37:27;14:37:27;14:37:27;14:37:27;;;14:37:27;14:37:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:27;00:00:00;00:00:00;;00:00:00;00:00:28
8;14:37:27;14:37:27;14:37:27;14:37:27;14:37:27;14:37:27;;;14:37:27;14:37:27;14:37:27;14:37:27;14:37:59;14:37:59;14:37:59;14:37:59;14:37:59;14:37:59;;;14:37:59;14:37:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:31;00:00:00;00:00:00;;00:00:00;00:00:32
9;14:37:59;14:37:59;14:37:59;14:37:59;14:37:59;14:37:59;;;14:37:59;14:37:59;14:37:59;14:37:59;14:38:28;14:38:28;14:38:28;14:38:28;14:38:28;14:38:28;;;14:38:28;14:38:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:28;00:00:00;00:00:00;;00:00:00;00:00:29
10;14:38:28;14:38:28;14:38:28;14:38:28;14:38:28;14:38:28;;;14:38:28;14:38:28;14:38:29;14:38:29;14:39:15;14:39:15;14:39:15;14:39:15;14:39:15;14:39:15;14:39:15;14:39:15;14:39:16;14:39:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:46;00:00:00;00:00:00;00:00:00;00:00:01;00:00:48
