ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;9897.072555342089;9897.072555342089
1;10070.612965798204;10070.612965798204
2;10195.052935957177;10195.052935957177
3;10324.309352271479;10324.309352271479
4;10440.621376987223;10440.621376987223
5;10538.442495133431;10538.442495133431
6;10579.563076564411;10579.563076564411
7;10636.908648835373;10636.908648835373
8;10657.687067099054;10657.687067099054
9;10672.315855138972;10672.315855138972
10;10680.27392619813;10680.27392619813
