iteration;avg_executed;avg_worst;avg_average;avg_best
0;125.29977261859841;125.29977261859841;125.29977261859841;125.29977261859841
1;125.2997722755562;125.2997722755562;125.2997722755562;125.2997722755562
2;125.29977261859841;125.29977261859841;125.29977261859841;125.29977261859841
3;125.29977261859841;125.29977261859841;125.29977261859841;125.29977261859841
4;125.29977261859841;125.29977261859841;125.29977261859841;125.29977261859841
5;125.29977261859841;125.29977261859841;125.29977261859841;125.29977261859841
6;125.29980257458456;125.29974231982813;125.29977244720637;125.29980257458456
7;125.29980257458456;125.29974231982813;125.29977244720637;125.29980257458456
8;125.29998478024545;125.29977261859841;125.29987869942195;125.29998478024545
9;125.29998460872758;125.29974231982813;125.29986346427786;125.29998460872758
10;125.29995430969919;125.29971202079976;125.29984320770889;125.29995430969919
