iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;16:34:07;16:34:07;16:34:07;;;16:34:07;16:34:07;16:34:07;16:34:07;16:34:07;16:34:07;16:34:07;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;;;16:34:08;16:34:08;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
1;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:08;16:34:09;16:34:09;16:34:09;16:34:09;16:34:09;16:34:09;;;16:34:10;16:34:10;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
2;16:34:10;16:34:10;16:34:10;16:34:10;16:34:10;16:34:10;;;16:34:10;16:34:10;16:34:10;16:34:10;16:34:11;16:34:11;16:34:11;16:34:11;16:34:11;16:34:11;;;16:34:11;16:34:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
3;16:34:11;16:34:11;16:34:11;16:34:11;16:34:11;16:34:11;;;16:34:11;16:34:11;16:34:11;16:34:11;16:34:13;16:34:13;16:34:13;16:34:13;16:34:13;16:34:13;;;16:34:13;16:34:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
4;16:34:13;16:34:13;16:34:13;16:34:13;16:34:13;16:34:13;;;16:34:13;16:34:13;16:34:13;16:34:13;16:34:14;16:34:14;16:34:14;16:34:14;16:34:14;16:34:14;;;16:34:14;16:34:14;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
5;16:34:14;16:34:14;16:34:14;16:34:14;16:34:14;16:34:14;;;16:34:14;16:34:14;16:34:14;16:34:14;16:34:16;16:34:16;16:34:16;16:34:16;16:34:16;16:34:16;;;16:34:16;16:34:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
6;16:34:16;16:34:16;16:34:16;16:34:16;16:34:16;16:34:16;;;16:34:16;16:34:16;16:34:16;16:34:16;16:34:17;16:34:17;16:34:17;16:34:17;16:34:17;16:34:17;;;16:34:17;16:34:17;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
7;16:34:17;16:34:17;16:34:17;16:34:17;16:34:17;16:34:17;;;16:34:17;16:34:17;16:34:17;16:34:17;16:34:19;16:34:19;16:34:19;16:34:19;16:34:19;16:34:19;;;16:34:19;16:34:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
8;16:34:19;16:34:19;16:34:19;16:34:19;16:34:19;16:34:19;;;16:34:19;16:34:19;16:34:19;16:34:19;16:34:20;16:34:20;16:34:20;16:34:20;16:34:20;16:34:20;;;16:34:20;16:34:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
9;16:34:20;16:34:20;16:34:20;16:34:20;16:34:20;16:34:20;;;16:34:20;16:34:20;16:34:20;16:34:20;16:34:22;16:34:22;16:34:22;16:34:22;16:34:22;16:34:22;;;16:34:22;16:34:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
10;16:34:22;16:34:22;16:34:22;16:34:22;16:34:22;16:34:22;;;16:34:22;16:34:22;16:34:22;16:34:22;16:34:23;16:34:23;16:34:23;16:34:23;16:34:23;16:34:23;16:34:23;16:34:23;16:34:23;16:34:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
