iteration;avg_executed;avg_worst;avg_average;avg_best
0;-67.67045906869362;-67.67045906869362;-67.67045906869362;-67.67045906869362
1;-42.41073340229612;-50.27779128941354;-46.32806299064888;-42.37833469188483
2;-21.38668390299021;-34.04995164066506;-27.54902662405109;-21.25837026019246
3;-6.486944500835503;-21.750190466298736;-13.748627659562084;-6.2221113402677055
4;2.0599026814451435;-14.827355875198448;-5.796670204999584;2.486424460955252
5;8.090985529091467;-11.02614774961288;-0.7755173601421658;8.448695333921812
6;11.845190666351682;-9.112396326232743;2.2046317950778733;12.217664780528121
7;16.379089697084545;-7.007424314497726;5.674396322605734;16.754444222251234
8;21.167659802457237;-5.123688228260822;9.109808248905953;21.50516049603968
9;24.15363600162699;-3.880837925475138;11.45309746756035;24.55344928335778
10;25.806937980244356;-3.408477792644029;12.786627534042362;26.3556137869119
