iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;15:41:37;15:41:37;15:41:37;;;15:41:37;15:41:37;15:43:13;15:43:13;15:43:13;15:43:14;15:43:14;16:05:00;16:05:00;16:05:01;16:05:01;16:05:01;16:05:01;;;16:05:08;16:05:08;;00:00:00;;00:01:36;00:01:36;00:00:00;00:21:46;00:00:00;00:00:00;;00:00:07;00:23:31
1;16:05:08;16:05:08;16:05:08;16:05:08;16:05:53;16:05:53;16:05:53;16:07:40;16:07:40;16:07:40;16:07:40;16:07:40;16:22:30;16:22:30;16:22:30;16:22:30;16:22:30;16:22:30;;;16:22:31;16:22:31;;00:00:00;00:00:44;00:01:47;00:01:47;00:00:00;00:14:49;00:00:00;00:00:00;;00:00:00;00:17:22
2;16:22:31;16:22:31;16:22:31;16:22:31;16:23:15;16:23:15;;;16:23:15;16:23:15;16:23:15;16:23:15;16:39:44;16:39:44;16:39:44;16:39:44;16:39:44;16:39:44;;;16:39:45;16:39:45;;00:00:00;00:00:43;;00:00:00;00:00:00;00:16:29;00:00:00;00:00:00;;00:00:00;00:17:13
3;16:39:45;16:39:45;16:39:45;16:39:45;16:40:25;16:40:25;;;16:40:26;16:40:26;16:40:26;16:40:26;16:55:54;16:55:54;16:55:54;16:55:54;16:55:55;16:55:55;;;16:55:55;16:55:55;;00:00:00;00:00:40;;00:00:00;00:00:00;00:15:28;00:00:00;00:00:00;;00:00:00;00:16:10
4;16:55:55;16:55:55;16:55:55;16:55:55;16:56:36;16:56:36;;;16:56:36;16:56:36;16:56:36;16:56:36;17:12:57;17:12:57;17:12:57;17:12:57;17:12:57;17:12:57;;;17:12:57;17:12:57;;00:00:00;00:00:41;;00:00:00;00:00:00;00:16:20;00:00:00;00:00:00;;00:00:00;00:17:02
5;17:12:57;17:12:57;17:12:57;17:12:57;17:13:28;17:13:28;;;17:13:28;17:13:28;17:13:28;17:13:28;17:29:40;17:29:40;17:29:40;17:29:40;17:29:40;17:29:40;;;17:29:41;17:29:41;;00:00:00;00:00:30;;00:00:00;00:00:00;00:16:11;00:00:00;00:00:00;;00:00:00;00:16:43
6;17:29:41;17:29:41;17:29:41;17:29:41;17:30:33;17:30:33;;;17:30:33;17:30:33;17:30:33;17:30:33;17:47:40;17:47:40;17:47:40;17:47:40;17:47:40;17:47:40;;;17:47:41;17:47:41;;00:00:00;00:00:52;;00:00:00;00:00:00;00:17:06;00:00:00;00:00:00;;00:00:00;00:18:00
7;17:47:41;17:47:41;17:47:41;17:47:41;17:48:25;17:48:25;;;17:48:26;17:48:26;17:48:26;17:48:26;18:05:20;18:05:20;18:05:20;18:05:20;18:05:21;18:05:21;;;18:05:21;18:05:21;;00:00:00;00:00:44;;00:00:00;00:00:00;00:16:54;00:00:00;00:00:00;;00:00:00;00:17:40
8;18:05:21;18:05:21;18:05:21;18:05:21;18:05:52;18:05:52;;;18:05:53;18:05:53;18:05:53;18:05:53;18:22:52;18:22:52;18:22:52;18:22:52;18:22:52;18:22:52;;;18:22:53;18:22:53;;00:00:00;00:00:31;;00:00:00;00:00:00;00:16:59;00:00:00;00:00:00;;00:00:00;00:17:31
9;18:22:53;18:22:53;18:22:53;18:22:53;18:23:25;18:23:25;;;18:23:25;18:23:25;18:23:25;18:23:25;18:39:37;18:39:37;18:39:37;18:39:37;18:39:37;18:39:37;;;18:39:38;18:39:38;;00:00:00;00:00:31;;00:00:00;00:00:00;00:16:12;00:00:00;00:00:00;;00:00:00;00:16:44
10;18:39:38;18:39:38;18:39:38;18:39:38;18:40:14;18:40:14;;;18:40:14;18:40:14;18:40:15;18:40:15;19:03:45;19:03:45;19:03:45;19:03:45;19:03:45;19:03:45;19:03:45;19:03:45;19:03:53;19:03:53;;00:00:00;00:00:36;;00:00:00;00:00:00;00:23:30;00:00:00;00:00:00;00:00:00;00:00:07;00:24:14
