iteration;avg_executed;avg_worst;avg_average;avg_best
0;113.61566373278232;113.61566373278232;113.61566373278232;113.61566373278232
1;113.61429008696423;113.61400593069571;113.61496933001604;113.61593272933644
2;113.61320812775325;113.61115596393753;113.61369075468625;113.61609920902002
3;113.61447698987519;113.60972997114264;113.61314940996313;113.61629704788372
4;113.61442354591966;113.60757137334103;113.61229506935244;113.6166747727529
5;113.61508566363919;113.60647212357203;113.61176819971887;113.6167860068431
6;113.61612520076372;113.60598476541028;113.61169165036331;113.61711678323287
7;113.61613076150901;113.60541615217424;113.61144247014927;113.61716766542679
8;113.61603378744283;113.60457729590648;113.6111323360717;113.61729385915692
9;113.61528995814496;113.60299394675064;113.61053837078178;113.61750180679503
10;113.61616894983099;113.60207254701504;113.61034758722502;113.61779589712063
