iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;12:06:24;12:06:24;12:06:24;;;12:06:24;12:06:24;12:06:25;12:06:25;12:06:25;12:06:25;12:06:25;12:06:27;12:06:27;12:06:27;12:06:27;12:06:27;12:06:27;;;12:06:27;12:06:27;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
1;12:06:27;12:06:27;12:06:27;12:06:27;12:06:28;12:06:28;12:06:28;12:06:28;12:06:28;12:06:28;12:06:28;12:06:28;12:06:29;12:06:29;12:06:29;12:06:29;12:06:29;12:06:29;;;12:06:30;12:06:30;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:02
2;12:06:30;12:06:30;12:06:30;12:06:30;12:06:30;12:06:30;;;12:06:30;12:06:30;12:06:30;12:06:30;12:06:31;12:06:31;12:06:31;12:06:31;12:06:31;12:06:31;;;12:06:31;12:06:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
3;12:06:31;12:06:31;12:06:31;12:06:31;12:06:31;12:06:31;;;12:06:31;12:06:31;12:06:31;12:06:31;12:06:32;12:06:32;12:06:32;12:06:32;12:06:32;12:06:32;;;12:06:32;12:06:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
4;12:06:32;12:06:32;12:06:32;12:06:32;12:06:33;12:06:33;;;12:06:33;12:06:33;12:06:33;12:06:33;12:06:33;12:06:33;12:06:33;12:06:33;12:06:33;12:06:33;;;12:06:34;12:06:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
5;12:06:34;12:06:34;12:06:34;12:06:34;12:06:34;12:06:34;;;12:06:34;12:06:34;12:06:34;12:06:34;12:06:35;12:06:35;12:06:35;12:06:35;12:06:35;12:06:35;;;12:06:35;12:06:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
6;12:06:35;12:06:35;12:06:35;12:06:35;12:06:35;12:06:35;;;12:06:35;12:06:35;12:06:35;12:06:35;12:06:36;12:06:36;12:06:36;12:06:36;12:06:36;12:06:36;;;12:06:36;12:06:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
7;12:06:36;12:06:36;12:06:36;12:06:36;12:06:36;12:06:36;;;12:06:36;12:06:36;12:06:36;12:06:36;12:06:37;12:06:37;12:06:37;12:06:37;12:06:37;12:06:37;;;12:06:38;12:06:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
8;12:06:38;12:06:38;12:06:38;12:06:38;12:06:38;12:06:38;;;12:06:38;12:06:38;12:06:38;12:06:38;12:06:39;12:06:39;12:06:39;12:06:39;12:06:39;12:06:39;;;12:06:39;12:06:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
9;12:06:39;12:06:39;12:06:39;12:06:39;12:06:39;12:06:39;;;12:06:39;12:06:39;12:06:39;12:06:39;12:06:40;12:06:40;12:06:40;12:06:40;12:06:40;12:06:40;;;12:06:40;12:06:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
10;12:06:40;12:06:40;12:06:40;12:06:40;12:06:40;12:06:40;;;12:06:40;12:06:40;12:06:40;12:06:40;12:06:42;12:06:42;12:06:42;12:06:42;12:06:42;12:06:42;12:06:42;12:06:42;12:06:42;12:06:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02
